index,label,prediction
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,1
7,1,1
8,1,1
9,1,1
10,1,0
11,1,0
12,1,0
13,1,0
14,1,1
15,1,1
16,1,1
17,1,0
18,1,0
19,1,0
20,1,1
21,1,1
22,1,0
23,1,1
24,1,1
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,1
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,1
43,1,1
44,1,0
45,1,0
46,1,1
47,1,1
48,1,1
49,1,1
50,1,0
51,1,1
52,1,1
53,1,0
54,1,0
55,1,0
56,1,1
57,1,0
58,1,1
59,1,1
60,1,0
61,1,1
62,1,0
63,1,1
64,1,0
65,1,1
66,1,0
67,1,0
68,1,0
69,1,1
70,1,0
71,1,1
72,1,0
73,1,0
74,1,0
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,0
82,1,0
83,1,0
84,1,1
85,1,0
86,1,1
87,1,1
88,1,1
89,1,0
90,1,0
91,1,1
92,1,1
93,1,1
94,1,1
95,1,0
96,1,1
97,1,1
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,0
110,1,0
111,1,1
112,1,1
113,1,0
114,1,1
115,1,1
116,1,0
117,1,0
118,1,0
119,1,1
120,1,1
121,1,1
122,1,0
123,1,1
124,1,1
125,1,1
126,1,1
127,1,0
128,1,1
129,1,0
130,1,1
131,1,0
132,1,1
133,1,1
134,1,1
135,1,0
136,1,0
137,1,1
138,1,1
139,1,0
140,1,1
141,1,1
142,1,0
143,1,0
144,1,1
145,1,1
146,1,1
147,1,0
148,1,1
149,1,0
150,1,0
151,1,0
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,0
159,1,0
160,1,1
161,1,1
162,1,1
163,1,1
164,1,0
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,0
181,1,1
182,1,1
183,1,1
184,1,1
185,1,0
186,1,0
187,1,1
188,1,1
189,1,0
190,1,1
191,1,0
192,1,1
193,1,0
194,1,1
195,1,0
196,1,1
197,1,1
198,1,0
199,1,0
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
